"1/2016"	[24720522386296540800353353, 404816]
"1/2018"	[374060858870649357252663716, 33504270]
"10/2016"	[43169713688758323392728842, 1330960]
"10/2018"	[52435881246222807484554791, 17070582]
"11/2015"	[13963032381076875048631347, 234733]
"11/2017"	[453279724734112625843300484, 15292269]
"12/2016"	[80898080319268564257046231, 1316131]
"12/2018"	[101702877336125731142910253, 17107601]
"2/2017"	[78370594973636069834229467, 1410048]
"2/2019"	[53398656312784247648539758, 13413899]
"3/2016"	[42042190061375103220965934, 916363]
"3/2018"	[55245637478678082549680829, 20241701]
"4/2017"	[282052564383998472465292264, 2540358]
"4/2019"	[81953220849923141358664623, 19821024]
"5/2016"	[63452171146968073858350561, 1347042]
"5/2018"	[62693058994716866433810248, 25107353]
"6/2017"	[411206901261526170676548817, 7240723]
"6/2019"	[77854606635224344128727710, 25646697]
"7/2016"	[129918906994799022368190786, 1351177]
"7/2018"	[45348227053640912131898022, 19934164]
"8/2015"	[41111466356103301080371059, 85112]
"8/2017"	[507730339175675815099945529, 10517032]
"9/2016"	[45291987815567212458786993, 1387395]
"9/2018"	[59911340946133999501471418, 16065654]
"1/2017"	[79227147826331878802726324, 1409664]
"1/2019"	[73814470849117070139416650, 16569597]
"10/2015"	[15208928966383514295125378, 205213]
"10/2017"	[336255193808735302392351088, 12579172]
"11/2016"	[51600487255727803383781241, 1301586]
"11/2018"	[90220171429437934824843198, 16713911]
"12/2015"	[9289603672676305009452585, 347092]
"12/2017"	[366610068119768299451847561, 26687692]
"2/2016"	[34087378459501205984253794, 520040]
"2/2018"	[138513288592477544656912835, 22231978]
"3/2017"	[428780171566207222282199671, 2422460]
"3/2019"	[68809733888801985693375663, 18012971]
"4/2016"	[23091140959689857163875081, 1022504]
"4/2018"	[51113777761513534985190922, 20868405]
"5/2017"	[531394025710861481210246311, 4240928]
"5/2019"	[97401367099501287911701928, 24325151]
"6/2016"	[41230867021113594468262899, 1351631]
"6/2018"	[63145658211537869931361178, 22477336]
"7/2017"	[509142557275169901262645226, 7839822]
"8/2016"	[83053592462131790112859670, 1411435]
"8/2018"	[47621047109181683120144909, 19843574]
"9/2015"	[12271704211180039135137775, 174134]
"9/2017"	[367542311296267579672476591, 10677965]
